Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Label
21,9632150,9,118,29,0,13.11111111,11.10680472,34,0,12.53333333,14.54975045,31.76860825,2.491655549,418789.1304,1087063.085,3335690,3,6644156,830519.5,1531443.664,3378127,3,9632121,688008.6429,1341772.438,3335690,4,296,488,0.934370831,1.557284718,0,34,12.24,13.08395965,171.19,0,1,0,12.75,118,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,249,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,56224.8996,12048.19277,124.5,75.66042559,178,71,249,249.0,0.0,249,249,0,0.0,0.0,0,0,64,20,8032.128514,4016.064257,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
21,9675841,9,111,26,0,12.33333333,10.14889157,34,0,12.53333333,14.54975045,30.90170663,2.480404546,420688.7391,1098399.069,3584792,3,6505674,813209.25,1516486.447,3629299,214,9675762,691125.8571,1356637.834,3584792,3,296,488,0.930151705,1.550252841,0,34,11.96,12.80781012,164.04,0,1,0,12.45833333,111,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,8676096,9,110,24,0,12.22222222,9.921917377,34,0,12.53333333,14.54975045,34.34724558,2.766221121,377221.5652,980223.9472,3036397,3,5597668,699708.5,1296268.373,2996934,219,8676038,619717.0,1210046.272,3036397,3,296,488,1.03733292,1.7288882,0,34,11.92,12.74728729,162.4933333,0,1,0,12.41666667,110,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,239,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,58577.40586,12552.30126,119.5,105.3589104,194,45,239,239.0,0.0,239,239,0,0.0,0.0,0,0,64,20,8368.200837,4184.100418,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
22,12257956,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,387.7481694,4.323722487,235729.9231,638568.7852,2392456,3,10400000,519869.5,918191.1374,2452384,492,12300000,395414.4516,792498.4189,2392456,3,680,1032,1.713173061,2.610549426,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
22,10184665,20,2008,640,0,100.4,141.9141327,976,0,83.18181818,217.2857356,466.6820165,5.203902141,195858.9423,517431.8425,1796402,3,8778977,462051.4211,777621.1305,1858296,457,10200000,318268.1562,632758.8619,1796402,3,648,1064,1.963736657,3.240165484,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,245,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,57142.85714,12244.89796,122.5,75.66042559,176,69,245,245.0,0.0,245,245,0,0.0,0.0,0,0,64,20,8163.265306,4081.632653,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
21,9554886,9,108,24,0,12.0,9.695359715,34,0,12.53333333,14.54975045,30.97891487,2.511803908,415429.8261,1080637.344,3316569,1,6312170,789021.25,1463339.921,3359015,204,9554794,682485.2857,1334155.536,3316569,1,296,488,0.941926466,1.569877443,0,34,11.84,12.68752668,160.9733333,0,1,0,12.33333333,108,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,8863970,9,98,20,0,10.88888889,8.491826135,34,0,12.53333333,14.54975045,32.26545216,2.707590391,385390.0,1009053.186,3362553,3,6399231,799903.875,1482710.105,3405567,3,8863879,633134.2143,1246668.158,3362553,3,296,488,1.015346397,1.692243995,0,34,11.44,12.40322539,153.84,0,1,0,11.91666667,98,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
