hsv_mean_h,hsv_mean_s,hsv_mean_v,hsv_std_h,hsv_std_s,hsv_std_v,hog_mean,hog_std,hog_max,glcm_contrast_0,glcm_contrast_90,glcm_correlation_0,glcm_correlation_90,glcm_energy_0,glcm_energy_90,glcm_homogeneity_0,glcm_homogeneity_90,target_label
0,0,191.0679932,0,0,49.02566931,0.103613558,0.100486635,0.529008382,66.98776042,21.75598958,0.98611038,0.995459117,0.044748941,0.050904931,0.519464684,0.606199967,haze
0,0,183.0226288,0,0,76.88159126,0.094124414,0.10288362,0.627088552,128.7801011,112.5168045,0.989099197,0.990442479,0.153600764,0.153043385,0.54381282,0.575003297,haze
56.50427246,7.125900269,139.6475983,52.54863685,6.034839187,17.94682268,0.096354383,0.107467047,0.436119065,3.532276348,1.48135723,0.994238607,0.997578496,0.081420528,0.086248284,0.750376364,0.790297179,haze
90.36610413,21.18438721,154.3785553,52.96824286,18.5524628,36.26292524,0.099773758,0.104300195,0.470678272,26.39096201,10.43471201,0.98894968,0.995628176,0.062957056,0.069306981,0.621122283,0.692043367,haze
43.06890869,12.79093933,148.8496857,46.58432741,14.10262865,32.1693062,0.107189316,0.09666325,0.476757822,18.86407782,12.3189185,0.991145671,0.994186823,0.06495692,0.068399204,0.61948612,0.634369552,haze
87.73097229,12.19493103,156.8586731,53.03074384,11.40801353,53.08548321,0.110131106,0.093297764,0.485058374,10.276394,12.19119179,0.998247163,0.997912619,0.055839205,0.047025519,0.613819958,0.532369869,haze
48.10339355,8.489974976,151.7780762,40.24614691,7.015948426,43.37102573,0.0858714,0.116014809,0.704248848,75.8055913,30.12758885,0.980591149,0.992252321,0.113742922,0.112395604,0.676673895,0.682976611,haze
94.90867615,40.19554138,191.263504,12.26424058,23.01033622,50.55226566,0.11322247,0.089520979,0.399917825,35.16429228,19.11046262,0.994141649,0.996806492,0.066487065,0.06664292,0.550261222,0.55807596,haze
68.0846405,7.68862915,170.2263794,53.83749203,7.049276119,48.78453702,0.096537994,0.107302139,0.551323047,8.968030025,7.849402574,0.998163774,0.998381981,0.078129687,0.08050185,0.68737122,0.713472393,haze
40.78312683,16.6676178,118.9970703,32.99251092,14.32134961,35.07766596,0.097394584,0.106525248,0.539368479,139.3280331,97.5588848,0.937669628,0.956050663,0.08048721,0.072624883,0.795631543,0.747718018,haze
3.75390625,2.365203857,167.328598,20.84645953,10.853349,23.93562222,0.088123407,0.113907883,0.707106781,37.43779105,32.92386642,0.967679448,0.971516967,0.267486647,0.27148963,0.77814713,0.793640716,haze
51.26217651,32.02507019,136.2810364,31.47078338,42.77123814,59.53917243,0.117138396,0.084332256,0.33961103,109.7809436,78.78772978,0.985122366,0.989289841,0.030611049,0.028350318,0.468006466,0.443804966,haze
69.82089233,9.896850586,175.8222351,63.29867112,7.603726798,40.00368121,0.101758183,0.10236506,0.51500258,52.87766544,26.46174939,0.983701688,0.991851161,0.055994533,0.06437236,0.481708011,0.586876475,haze
50.86434937,38.68078613,138.5129852,43.07849516,52.52588038,61.28369895,0.105696821,0.098293008,0.527894354,322.2695006,135.4070006,0.959714833,0.983058389,0.036818916,0.039817885,0.426456354,0.477425154,haze
37.73379517,4.193527222,158.4411621,24.36617484,2.926781095,16.94284823,0.093654329,0.109828048,0.481060453,1.451332721,1.25111826,0.997572492,0.997892002,0.100854175,0.092492176,0.788945776,0.772679517,haze
17.77452087,76.16337585,119.1434479,18.39288626,57.23490043,96.28845005,0.101270691,0.102847365,0.845031522,84.85113358,81.79574142,0.994350739,0.994539211,0.144065228,0.142429449,0.693880158,0.615354767,haze
75.69342041,27.11068726,119.5088654,44.94534309,20.64238254,58.59795204,0.111991143,0.091056671,0.453855953,21.82941176,12.25563725,0.99694857,0.998276955,0.035058693,0.029846725,0.544089897,0.489531715,haze
44.23951721,13.1741333,189.8570862,39.41401668,30.02397388,61.88311498,0.100131265,0.103957026,0.563820508,834.2977022,316.4246017,0.892742542,0.959098856,0.065973321,0.056238572,0.573159973,0.544323237,haze
34.61225891,45.83836365,148.4438629,29.42320163,46.92832657,67.24126681,0.095447363,0.108273424,0.546048257,79.92032782,76.77778799,0.990809846,0.991128912,0.062236422,0.063848206,0.614287502,0.653776795,haze
102.9482117,44.15330505,163.9146576,25.68315328,37.31959959,60.71663018,0.117749709,0.08347658,0.460612163,14.66704963,10.06709559,0.997301113,0.998141291,0.033085966,0.026722765,0.486746287,0.393813119,haze
163.6430664,51.65643311,146.2079926,9.112639626,31.16424568,49.87668599,0.113779037,0.088812522,0.455429072,118.98053,71.71557904,0.978023008,0.98669255,0.049874722,0.05208735,0.565891036,0.557109249,haze
81.05381775,18.63894653,196.2094116,26.98376802,13.66412657,46.48922999,0.110215735,0.093197774,0.464249224,61.47429534,27.25952819,0.986629932,0.994058663,0.048007111,0.053595982,0.499421273,0.564851304,haze
128.910202,43.17454529,159.2307739,39.70025027,37.62148542,52.90266229,0.115478183,0.0865917,0.440802476,31.20410539,20.77938113,0.994005848,0.99601223,0.033950526,0.029522532,0.566137364,0.475622171,haze
