Combination,Default CV F1,Tuned CV F1,Test F1 (Final),Improvement,Latency (ms/img),Balancing Mode,Best Params
Color,0.8609,0.8609,0.8838,0.0,0.0066,Unweighted,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0}"
Sobel,0.6956,0.697,0.7298,0.0014,0.0047,Weighted,"{'n_estimators': 194, 'max_depth': 7, 'learning_rate': 0.1834608490982711, 'subsample': 0.8120948925891219, 'colsample_bytree': 0.9758041182574043, 'min_child_weight': 4, 'gamma': 1.7739999605221215}"
LBP,0.861,0.8736,0.8673,0.0126,0.0253,Weighted,"{'n_estimators': 435, 'max_depth': 8, 'learning_rate': 0.0466644492144879, 'subsample': 0.8002275997474291, 'colsample_bytree': 0.6163170092564118, 'min_child_weight': 3, 'gamma': 0.016414191859556726}"
HOG,0.582,0.6174,0.5997,0.0354,0.0044,Weighted,"{'n_estimators': 106, 'max_depth': 3, 'learning_rate': 0.012189756913585953, 'subsample': 0.6347574199841479, 'colsample_bytree': 0.7399930828313763, 'min_child_weight': 3, 'gamma': 3.688082281545528}"
GLCM,0.7962,0.8114,0.8268,0.0151,0.0071,Unweighted,"{'n_estimators': 214, 'max_depth': 9, 'learning_rate': 0.16532618121217468, 'subsample': 0.955107916869586, 'colsample_bytree': 0.8040514223385029, 'min_child_weight': 2, 'gamma': 0.5523151534748962}"
Color + Sobel,0.914,0.9181,0.9413,0.0041,0.0082,Weighted,"{'n_estimators': 469, 'max_depth': 9, 'learning_rate': 0.29623365115438793, 'subsample': 0.7844606680460424, 'colsample_bytree': 0.779879468571543, 'min_child_weight': 5, 'gamma': 0.6324014649293851}"
Color + LBP,0.9313,0.9363,0.9435,0.005,0.013,Weighted,"{'n_estimators': 273, 'max_depth': 6, 'learning_rate': 0.04511607844182152, 'subsample': 0.9440119249186643, 'colsample_bytree': 0.7235162375987032, 'min_child_weight': 3, 'gamma': 0.33039106980587896}"
Color + HOG,0.8952,0.9068,0.9209,0.0116,0.0088,Unweighted,"{'n_estimators': 494, 'max_depth': 5, 'learning_rate': 0.1141641950815396, 'subsample': 0.7022033459838429, 'colsample_bytree': 0.8663355885585465, 'min_child_weight': 2, 'gamma': 2.8900784761815914}"
Color + GLCM,0.9215,0.9288,0.9487,0.0074,0.0075,Unweighted,"{'n_estimators': 223, 'max_depth': 7, 'learning_rate': 0.09865026572922629, 'subsample': 0.6585417017158843, 'colsample_bytree': 0.7702131815877065, 'min_child_weight': 1, 'gamma': 0.41454606359374524}"
Sobel + LBP,0.883,0.883,0.8842,0.0,0.0066,Unweighted,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0}"
Sobel + HOG,0.7605,0.7827,0.8192,0.0221,0.0097,Weighted,"{'n_estimators': 447, 'max_depth': 3, 'learning_rate': 0.08596430906470649, 'subsample': 0.8117251359368648, 'colsample_bytree': 0.8370251475021236, 'min_child_weight': 2, 'gamma': 0.7481332517341182}"
Sobel + GLCM,0.855,0.8562,0.8718,0.0012,0.0062,Weighted,"{'n_estimators': 190, 'max_depth': 5, 'learning_rate': 0.23640197906693838, 'subsample': 0.9889429336434007, 'colsample_bytree': 0.860818727421846, 'min_child_weight': 3, 'gamma': 0.3515852780243315}"
LBP + HOG,0.8758,0.8787,0.8522,0.0029,0.0069,Unweighted,"{'n_estimators': 177, 'max_depth': 6, 'learning_rate': 0.13692428903909173, 'subsample': 0.6420271187990831, 'colsample_bytree': 0.9211476289349323, 'min_child_weight': 2, 'gamma': 0.36788007892281044}"
LBP + GLCM,0.9009,0.9026,0.9126,0.0017,0.0095,Weighted,"{'n_estimators': 351, 'max_depth': 5, 'learning_rate': 0.15343363541584018, 'subsample': 0.8134461259418915, 'colsample_bytree': 0.884149489022793, 'min_child_weight': 3, 'gamma': 0.3573438824991779}"
HOG + GLCM,0.8241,0.8302,0.8058,0.0061,0.0051,Unweighted,"{'n_estimators': 136, 'max_depth': 7, 'learning_rate': 0.22604232745928798, 'subsample': 0.882373028029681, 'colsample_bytree': 0.9909434551536169, 'min_child_weight': 1, 'gamma': 0.42704201065684877}"
Color + Sobel + LBP,0.9275,0.938,0.9443,0.0105,0.0054,Unweighted,"{'n_estimators': 51, 'max_depth': 10, 'learning_rate': 0.1503155814424751, 'subsample': 0.8693140453966041, 'colsample_bytree': 0.601328051935422, 'min_child_weight': 1, 'gamma': 0.2561755876628409}"
Color + Sobel + HOG,0.9205,0.9301,0.9576,0.0096,0.0132,Weighted,"{'n_estimators': 277, 'max_depth': 8, 'learning_rate': 0.025529683720669022, 'subsample': 0.6956386000575212, 'colsample_bytree': 0.9151815791973077, 'min_child_weight': 1, 'gamma': 0.41366523605037686}"
Color + Sobel + GLCM,0.9233,0.9315,0.9467,0.0082,0.0081,Unweighted,"{'n_estimators': 378, 'max_depth': 5, 'learning_rate': 0.24144283930911542, 'subsample': 0.7321209508557739, 'colsample_bytree': 0.8779159979217264, 'min_child_weight': 1, 'gamma': 0.58948829768525}"
Color + LBP + HOG,0.9292,0.9326,0.9317,0.0035,0.0155,Unweighted,"{'n_estimators': 305, 'max_depth': 4, 'learning_rate': 0.04407303467181317, 'subsample': 0.8719490686250168, 'colsample_bytree': 0.8762963381703828, 'min_child_weight': 5, 'gamma': 0.9764522103366564}"
Color + LBP + GLCM,0.9345,0.9423,0.9462,0.0078,0.0069,Unweighted,"{'n_estimators': 223, 'max_depth': 5, 'learning_rate': 0.1334145709712894, 'subsample': 0.677028749650236, 'colsample_bytree': 0.8963496194569482, 'min_child_weight': 3, 'gamma': 0.33232284080997815}"
Color + HOG + GLCM,0.9256,0.9325,0.9579,0.0069,0.0045,Unweighted,"{'n_estimators': 113, 'max_depth': 6, 'learning_rate': 0.2929320199203713, 'subsample': 0.8443946712696923, 'colsample_bytree': 0.8712218454678604, 'min_child_weight': 1, 'gamma': 1.459944619086572}"
Sobel + LBP + HOG,0.8823,0.8941,0.8572,0.0119,0.0055,Unweighted,"{'n_estimators': 108, 'max_depth': 6, 'learning_rate': 0.2745217650879178, 'subsample': 0.9672249819068959, 'colsample_bytree': 0.9657256945506987, 'min_child_weight': 1, 'gamma': 0.2942772189771841}"
Sobel + LBP + GLCM,0.8967,0.9029,0.9099,0.0062,0.0077,Weighted,"{'n_estimators': 210, 'max_depth': 9, 'learning_rate': 0.0951392508288314, 'subsample': 0.8274914068426974, 'colsample_bytree': 0.6807146043077901, 'min_child_weight': 4, 'gamma': 0.5106151284698595}"
Sobel + HOG + GLCM,0.8487,0.8528,0.8581,0.0041,0.0045,Unweighted,"{'n_estimators': 66, 'max_depth': 7, 'learning_rate': 0.26038856621315043, 'subsample': 0.8893071886706211, 'colsample_bytree': 0.9390262338609136, 'min_child_weight': 3, 'gamma': 0.22251038527437295}"
LBP + HOG + GLCM,0.8974,0.9081,0.8991,0.0107,0.0098,Weighted,"{'n_estimators': 235, 'max_depth': 7, 'learning_rate': 0.1809348857377116, 'subsample': 0.7198893680567985, 'colsample_bytree': 0.7729207497325237, 'min_child_weight': 3, 'gamma': 0.08468329897409159}"
Color + Sobel + LBP + HOG,0.9271,0.9331,0.9439,0.006,0.0108,Unweighted,"{'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.13033401206299672, 'subsample': 0.7854958575976195, 'colsample_bytree': 0.7831343798156187, 'min_child_weight': 3, 'gamma': 0.7065277504937701}"
Color + Sobel + LBP + GLCM,0.9346,0.9429,0.9409,0.0083,0.0082,Unweighted,"{'n_estimators': 434, 'max_depth': 6, 'learning_rate': 0.22756097472552733, 'subsample': 0.7905526374109316, 'colsample_bytree': 0.9355058364474266, 'min_child_weight': 1, 'gamma': 0.5072157926061512}"
